Sale_Price,Area of the House from Basement (in Sqft),Years Since Renovation,Years_Since_Renovation_Bin,Age of House (in Years),House_Age_Group,No of Bathrooms,No of Bedrooms,No of Floors,Ever_Renovated_Yes,Renovation_Status
221900.0,1180.0,0,0,63,50+ yrs,1.0,3,1.0,0,Not Renovated
538000.0,2170.0,26,21-50,67,50+ yrs,2.25,3,2.0,1,Renovated
180000.0,770.0,0,0,85,50+ yrs,1.0,2,1.0,0,Not Renovated
604000.0,1050.0,0,0,53,50+ yrs,3.0,4,1.0,0,Not Renovated
510000.0,1680.0,0,0,31,31-50 yrs,2.0,3,1.0,0,Not Renovated
1129575.0,3890.0,0,0,17,11-20 yrs,4.5,4,1.0,0,Not Renovated
257500.0,1715.0,0,0,23,21-30 yrs,2.25,3,2.0,0,Not Renovated
291850.0,1060.0,0,0,55,50+ yrs,1.5,3,1.0,0,Not Renovated
229500.0,1050.0,0,0,58,50+ yrs,1.0,3,1.0,0,Not Renovated
323000.0,1890.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
662500.0,1860.0,0,0,53,50+ yrs,2.5,3,1.0,0,Not Renovated
468000.0,860.0,0,0,76,50+ yrs,1.0,2,1.0,0,Not Renovated
310000.0,1430.0,0,0,91,50+ yrs,1.0,3,1.5,0,Not Renovated
400000.0,1370.0,0,0,41,31-50 yrs,1.75,3,1.0,0,Not Renovated
530000.0,1810.0,0,0,118,,2.0,5,1.5,0,Not Renovated
650000.0,1980.0,0,0,39,31-50 yrs,3.0,4,2.0,0,Not Renovated
395000.0,1890.0,0,0,24,21-30 yrs,2.0,3,2.0,0,Not Renovated
485000.0,1600.0,0,0,102,,1.0,4,1.5,0,Not Renovated
189000.0,1200.0,0,0,97,50+ yrs,1.0,2,1.0,0,Not Renovated
230000.0,1250.0,0,0,49,31-50 yrs,1.0,3,1.0,0,Not Renovated
385000.0,860.0,0,0,71,50+ yrs,1.75,4,1.0,0,Not Renovated
1129575.0,2330.0,0,0,50,31-50 yrs,2.75,3,1.0,0,Not Renovated
285000.0,2270.0,0,0,23,21-30 yrs,2.5,5,2.0,0,Not Renovated
252700.0,1070.0,0,0,33,31-50 yrs,1.5,2,1.0,0,Not Renovated
329000.0,2450.0,0,0,33,31-50 yrs,2.25,3,2.0,0,Not Renovated
233000.0,1710.0,0,0,77,50+ yrs,2.0,3,1.5,0,Not Renovated
937000.0,1750.0,0,0,103,,1.75,3,2.0,0,Not Renovated
667000.0,1400.0,0,0,109,,1.0,3,1.5,0,Not Renovated
438000.0,790.0,0,0,70,50+ yrs,1.75,3,1.0,0,Not Renovated
719000.0,2570.0,0,0,13,11-20 yrs,2.5,4,2.0,0,Not Renovated
580500.0,2320.0,0,0,15,11-20 yrs,2.5,3,2.0,0,Not Renovated
280000.0,1190.0,0,0,13,11-20 yrs,1.5,2,3.0,0,Not Renovated
687500.0,1510.0,0,0,89,50+ yrs,1.75,4,1.5,0,Not Renovated
535000.0,1090.0,0,0,89,50+ yrs,1.0,3,1.5,0,Not Renovated
322500.0,1280.0,0,0,37,31-50 yrs,2.75,4,1.0,0,Not Renovated
696000.0,1510.0,15,11-20,88,50+ yrs,2.5,3,1.5,1,Renovated
550000.0,930.0,0,0,85,50+ yrs,1.0,4,1.0,0,Not Renovated
640000.0,2360.0,0,0,114,,2.0,4,2.0,0,Not Renovated
240000.0,890.0,0,0,49,31-50 yrs,1.0,4,1.0,0,Not Renovated
605000.0,2620.0,0,0,22,21-30 yrs,2.5,4,2.0,0,Not Renovated
